"PointId","avg.x.est","sd.x.est","med.x.est","min.x.est","max.x.est","avg.y.est","sd.y.est","med.y.est","min.y.est","max.y.est","mean.no.nodes","n.sim","filter","x","y","diff.dist"
"P64",577.183086785326,34.2744913315013,577.181639486746,479.295845044723,675.732415400145,819.680901376126,40.0974042325297,824.075518333573,717.41233460325,915.008160118184,43.73,100,"Distance 400",581,824,5.76397774207235
"P65",798.868358096343,29.9311360817691,799.145228816919,725.444464813087,863.614124250437,403.60993572316,27.6114528076306,405.186632409797,326.799526083907,465.846269515487,45.74,100,"Distance 400",793,379,25.2999320758962
"P66",564.07705510926,34.8775351573937,562.50138872781,448.813240111752,673.896863049476,566.222233245554,29.159259337651,567.055749089086,498.98477251715,656.830719744788,45.44,100,"Distance 400",578,560,15.2500682291151
"P67",966.764950050948,32.1535062735916,969.028217177043,872.547544283945,1028.32329430895,200.930507279201,28.0472506175002,205.586879725013,137.143140034517,254.374712641298,34.33,100,"Distance 400",978,192,14.3520140615026
"P68",515.163061415413,23.1812714601013,516.710749058277,451.205776018475,568.599042519311,508.665592291492,32.9345739504153,512.705381950122,419.360450075148,589.02350305421,43.37,100,"Distance 400",510,506,5.81055810088711
"P69",257.924729316425,34.2445210302975,254.47858611397,187.146854705044,350.392722431867,913.395117651088,34.8103168346459,911.15728928442,845.291214950539,1011.16519508123,39.85,100,"Distance 400",229,922,30.1775407590992
"P7",317.176299094715,27.6339825616509,318.923015505925,263.606326914024,398.023504663223,238.701895230182,29.1581817523985,242.987199120527,138.966885906977,299.618024621473,40.66,100,"Distance 400",329,233,13.126747971741
"P70",796.789164719258,32.3059440220871,802.935743457633,718.049001510081,872.477633568416,-1.72888664970088,41.6034914805257,-2.95854781932766,-88.3472975385488,125.567039029158,26.95,100,"Distance 400",809,16,21.5271437978048
"P71",982.731245591105,35.6014659607254,977.906317804076,910.579964473999,1079.07052295883,872.412364997483,29.4693090834276,869.157054177159,778.919211266019,934.583819048353,37.49,100,"Distance 400",994,891,21.7367201048085
"P72",682.712787601481,25.5129468147511,682.526260705618,599.315956850191,744.394396511249,1191.51819348716,42.3933180177293,1195.55432019768,1059.20429772752,1282.59975916465,26.68,100,"Distance 400",691,1198,10.5210125467132
"P73",41.2539612593478,57.7586748726551,34.9555617534203,-65.1411876592344,225.162179750889,907.879344155854,34.5371437054925,908.868091408399,811.058169141911,1018.19170371607,27.09,100,"Distance 400",45,902,6.97133372816446
"P74",353.176309751176,38.3226985241503,350.003087581885,263.880383179168,475.995849384985,555.644252868587,32.9476368473624,555.108548554415,478.682847004334,645.202448667554,42.54,100,"Distance 400",350,554,3.5766620096501
"P75",446.38745451369,33.1080790335569,450.856986452283,358.042760770267,509.524035482186,177.798919962528,30.7879486799735,174.505925994441,100.447001989383,269.275181060906,38.56,100,"Distance 400",447,190,12.2164465395468
"P76",874.301838908248,31.8024230080686,875.453922689304,765.301984781588,955.170707509573,76.6631532552564,42.3285557965176,78.8617830996562,-48.931021322042,236.976455661777,30.51,100,"Distance 400",880,58,19.5136446943348
"P77",246.726821737058,29.0543310904162,243.563188918495,193.178203514199,321.58265820263,327.134216653613,26.5294922162976,328.720396566148,275.313539347171,396.35946053637,40.94,100,"Distance 400",235,328,11.7587384040809
"P78",591.688643951329,30.2273520433452,591.366087906664,523.99355119483,669.924678006247,1158.60997721056,43.131590569136,1156.28491116394,1057.48660658551,1250.1762365592,30.12,100,"Distance 400",594,1154,5.15696196084638
"P79",1085.92108130315,51.658594850327,1086.54874712787,951.986380252126,1260.75370353382,20.4096719048457,49.1170149179827,19.4174673686167,-74.9943732758502,137.453493735285,21.27,100,"Distance 400",1063,36,27.7206475072283
"P8",224.575233922133,41.9477171233423,227.424373812453,98.5618733868858,369.661316218961,1223.64746656876,36.0660292374778,1229.30165388214,1130.50068758495,1305.25552698998,23.89,100,"Distance 400",230,1239,16.2827629644679
"P80",23.6301384289244,43.5190145185006,22.8276752670934,-74.8496876172569,127.94769060754,310.924429236876,30.9797936042667,308.826140460667,245.831427667022,386.844402152035,26.47,100,"Distance 400",24,297,13.9293405139846
"P81",401.475118252669,33.2308742493295,405.535418836031,310.935929103476,509.193239200011,1074.82569332649,32.4275761085001,1069.3807205561,1009.24188447307,1156.54007987569,32.56,100,"Distance 400",387,1084,17.137588843487
"P82",958.495604553407,39.8491864538596,960.950075952358,847.917911285826,1061.4938404593,132.499651791847,42.3882725160261,137.873477577472,26.0804681423329,224.9516665683,31.31,100,"Distance 400",980,131,21.5566226255467
"P83",496.960466003711,30.9158486824044,499.968827584916,414.037670107814,560.545581284361,948.249590559363,27.0006300587926,945.684443195245,894.894871177098,1011.90103935367,42.21,100,"Distance 400",482,951,15.211189800254
"P84",656.6535089259,43.6713105098522,660.044616408945,558.851704057013,767.163646953953,1163.87494203347,49.88916599473,1166.66008904459,1007.11425392207,1269.78314752691,29.15,100,"Distance 400",653,1168,5.51037482380529
