"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"3777FD","11",-80,2.08893187146837,12,107.354552767919,473086,3456716,472980,3456733,135.808764120914
"3777FD","20",-91.8333333333333,1.26730446462585,12,376.693509368027,473086,3456716,472899,3457043,262.121646702024
"3777FD","24",-82,0.707106781186548,9,287.767267075323,473086,3456716,473065,3457003,152.047185007707
"3777FD","27",-84.75,1.21543108701099,12,363.20792942886,473086,3456716,473014,3457072,176.937971528796
"3777FD","28",-84.1666666666667,0.389249472080761,12,390.786386661562,473086,3456716,473019,3457101,171.376544750895
"3777FD","74",-102.666666666667,1,9,1235.4096486591,473086,3456716,473315,3457930,652.05353538667
"3777FD","91",-96.25,0.965307299163423,12,918.530347892763,473086,3456716,473339,3457599,345.130822390142
"3777FD","106",-79.1818181818182,1.16774841624228,11,271.950363117978,473086,3456716,472960,3456957,129.548912375162
"377990","9",-99.25,4.02548698352702,12,407.019655545036,472941,3457108,472945,3456701,433.964128919758
"377990","11",-95.25,3.3878123807662,12,377.022545744946,472941,3457108,472980,3456733,322.883946022339
"377990","20",-92.0909090909091,10.2416262913128,11,77.3886296557834,472941,3457108,472899,3457043,266.078751939586
"377990","24",-81.5454545454545,1.12815214963553,11,162.483845350853,472941,3457108,473065,3457003,148.231898887892
"377990","27",-86.4166666666667,2.42930342928074,12,81.3941029804985,472941,3457108,473014,3457072,193.796225159685
"377990","28",-86.5,0.849836585598797,10,78.3134726595622,472941,3457108,473019,3457101,194.680042411519
"377990","53",-102.181818181818,1.07871977994119,11,601.176346840093,472941,3457108,473199,3457651,601.243364838113
"377990","71",-103.833333333333,0.937436866561092,12,952.662059704279,472941,3457108,473338,3457974,909.168197981869
"377990","91",-102.3,0.483045891539648,10,632.048257651265,472941,3457108,473339,3457599,612.424871298741
"377990","106",-75.8333333333333,0.937436866561092,12,152.190669884852,472941,3457108,472960,3456957,105.89809379913
"377A13","24",-102.454545454545,0.820199532264724,11,612.294863607396,473201,3457600,473065,3457003,628.125133119938
"377A13","27",-100.363636363636,0.504524979109513,11,560.136590484857,473201,3457600,473014,3457072,481.638310536938
"377A13","53",-80.6666666666667,10.2188180541706,12,51.0392006206994,473201,3457600,473199,3457651,141.067681345343
"377A13","65",-96.4166666666667,0.792961461098759,12,311.192866242142,473201,3457600,473372,3457860,349.107925820565
"377A13","71",-100.636363636364,1.12006493318265,11,398.302648748411,473201,3457600,473338,3457974,495.413800710321
"377A13","74",-92.75,3.04884478867891,12,349.136076623428,473201,3457600,473315,3457930,276.599469005797
"377A13","91",-92.0909090909091,6.09023062707063,11,138.003623140844,473201,3457600,473339,3457599,266.078751939586
"377A22","24",-103.2,0.632455532033676,10,533.608470697383,473312,3457476,473065,3457003,730.463005357654
"377A22","27",-96.4166666666667,0.668557923421521,12,502.015936002036,473312,3457476,473014,3457072,349.107925820565
"377A22","53",-86.8333333333333,1.80067327475704,12,208.312265601428,473312,3457476,473199,3457651,198.257337183085
"377A22","65",-103.5,3.56682242650545,10,388.65923377684,473312,3457476,473372,3457860,795.059839303607
"377A22","67",-103,4.24264068711928,9,414.276477729547,473312,3457476,473408,3457879,697.129632508978
"377A22","71",-99.9166666666667,0.996204919895622,12,498.678252984828,473312,3457476,473338,3457974,461.034909048739
"377A22","74",-93.1666666666667,3.56328074910885,12,454.009911786075,473312,3457476,473315,3457930,283.566750699283
"377A22","91",-71.1666666666667,1.19341628287971,12,125.928551170892,473312,3457476,473339,3457599,77.2171102043137
"377C9F","24",-103.090909090909,1.13618180363404,11,719.703411135448,473487,3457586,473065,3457003,711.55537174488
"377C9F","27",-102.75,0.621581560508061,12,698.516284706377,473487,3457586,473014,3457072,662.352887183738
"377C9F","53",-96.6666666666667,0.65133894727893,12,295.243966915499,473487,3457586,473199,3457651,355.23546030113
"377C9F","67",-90.2727272727273,0.904534033733291,11,303.463342102469,473487,3457586,473408,3457879,239.774504201561
"377C9F","74",-95.0833333333333,1.62135371797393,12,384.603692129964,473487,3457586,473315,3457930,319.418589898501
"377C9F","91",-101.083333333333,1.31137217055151,12,148.569848892701,473487,3457586,473339,3457599,520.423481585935
"377D96","53",-94.4166666666667,1.92865159365215,12,261.457453517776,473365,3457853,473199,3457651,306.16105425618
"377D96","65",-44.0833333333333,1.67648622440092,12,9.89949493661167,473365,3457853,473372,3457860,10
"377D96","67",-60.5,3.3166247903554,12,50.2493781056044,473365,3457853,473408,3457879,24.5091589808521
"377D96","71",-92.6666666666667,1.87487373312218,12,123.97580409096,473365,3457853,473338,3457974,275.236386673353
"377D96","74",-71.8333333333333,0.752772652709081,6,91.8095855561934,473365,3457853,473315,3457930,81.0567865142186
"377D96","91",-93,1.18321595661992,11,255.327241006517,473365,3457853,473339,3457599,280.748865000287
"377E04","9",-91.25,1.05528970602217,12,167.107749670684,473050,3456831,472945,3456701,253.455627814596
"377E04","11",-84.0833333333333,0.90033663737852,12,120.432553738597,473050,3456831,472980,3456733,170.595280400198
